drawing_id,field,baseline,gemini-2.5-flash,gemma4:e4b,qwen2.5vl:7b,divergence_type,flagged
drawing_1,emotionalIndicators.creativity,0.7,0.8,0.5,0.6,numeric,YES
drawing_1,personalityTraits.openness,0.6,0.7,0.6,0.4,numeric,YES
drawing_1,personalityTraits.extroversion,0.3,0.3,0.4,0.2,numeric,YES
drawing_1,colorUsage.emotionalColorChoices,0.4,0.6,0.6,0.6,numeric,YES
drawing_1,personalityTraits.emotionalStability,0.6,0.7,0.6,0.3,numeric,YES
drawing_1,personalityTraits.conscientiousness,0.8,0.8,0.5,0.5,numeric,YES
drawing_1,personalityTraits.agreeableness,0.6,0.7,0.5,0.6,numeric,YES
drawing_1,colorUsage.colorDiversity,0.5,0.8,0.7,0.4,numeric,YES
drawing_1,emotionalIndicators.socialBonds,0.3,0.3,0.3,0.5,numeric,YES
drawing_1,colorUsage.ageAppropriateColorUse,0.8,0.9,0.7,0.8,numeric,YES
drawing_1,emotionalIndicators.confidence,0.6,0.7,0.6,0.3,numeric,YES
drawing_1,emotionalIndicators.happiness,0.4,0.5,0.5,0.4,numeric,YES
drawing_1,overallMood,concerning,neutral,positive,nuanced,semantic,YES
drawing_1,drawingTitle,A Secluded Home with Fruiting Tree Under Gentle Rain,"A House with a Purple Roof, Trees, and Rain",A Structured Home and Garden Scene,A House under a Storm,semantic,YES
drawing_1,concerns.count,4,3,3,2,tonal,YES
drawing_1,keyInsights.count,4,5,4,3,tonal,YES

drawing_2,emotionalIndicators.creativity,0.6,0.6,0.4,0.8,numeric,YES
drawing_2,personalityTraits.openness,0.5,0.6,0.5,0.7,numeric,YES
drawing_2,personalityTraits.extroversion,0.5,0.7,0.55,0.7,numeric,YES
drawing_2,colorUsage.emotionalColorChoices,0.5,0.8,0.7,0.8,numeric,YES
drawing_2,personalityTraits.emotionalStability,0.5,0.8,0.6,0.85,numeric,YES
drawing_2,personalityTraits.conscientiousness,0.6,0.8,0.65,0.6,numeric,YES
drawing_2,personalityTraits.agreeableness,0.7,0.8,0.6,0.65,numeric,YES
drawing_2,colorUsage.colorDiversity,0.6,0.7,0.6,0.7,numeric,YES
drawing_2,emotionalIndicators.socialBonds,0.4,0.6,0.7,0.6,numeric,YES
drawing_2,colorUsage.ageAppropriateColorUse,0.7,0.9,0.8,0.9,numeric,YES
drawing_2,emotionalIndicators.confidence,0.4,0.7,0.65,0.75,numeric,YES
drawing_2,emotionalIndicators.happiness,0.6,0.8,0.5,0.9,numeric,YES
drawing_2,overallMood,concerning,positive,neutral,positive,semantic,YES
drawing_2,drawingTitle,"Home, Self, and Sun: A Glimpse into Adam's World","A Cheerful Person, House, and Tree Under the Sun",A Group of Structured Elements,A Cheerful Sunset Scene,semantic,YES
drawing_2,concerns.count,3,3,3,1,tonal,YES
drawing_2,keyInsights.count,4,5,4,3,tonal,YES

drawing_3,emotionalIndicators.creativity,0.7,0.6,0.5,0.6,numeric,YES
drawing_3,personalityTraits.openness,0.6,0.6,0.6,0.7,numeric,YES
drawing_3,personalityTraits.extroversion,0.6,0.7,0.55,0.7,numeric,YES
drawing_3,colorUsage.emotionalColorChoices,0.8,0.8,0.8,0.8,numeric,
drawing_3,personalityTraits.emotionalStability,0.7,0.8,0.8,0.8,numeric,YES
drawing_3,personalityTraits.conscientiousness,0.7,0.7,0.7,0.75,numeric,YES
drawing_3,personalityTraits.agreeableness,0.7,0.8,0.85,0.7,numeric,YES
drawing_3,colorUsage.colorDiversity,0.7,0.7,0.45,0.75,numeric,YES
drawing_3,emotionalIndicators.socialBonds,0.8,0.8,0.8,0.6,numeric,YES
drawing_3,colorUsage.ageAppropriateColorUse,0.9,0.9,0.9,0.9,numeric,
drawing_3,emotionalIndicators.confidence,0.6,0.7,0.6,0.7,numeric,YES
drawing_3,emotionalIndicators.happiness,0.7,0.8,0.7,0.8,numeric,YES
drawing_3,overallMood,neutral,positive,positive,positive,semantic,YES
drawing_3,drawingTitle,A Serene Landscape with Family and Homes,A Hilly Landscape with Two Figures and Homes,"A Community Grouping with Person, Home, and Garden",A Family Scene with Homes and a Path,semantic,YES
drawing_3,concerns.count,2,2,3,0,tonal,YES
drawing_3,keyInsights.count,3,5,4,4,tonal,YES

drawing_5,emotionalIndicators.creativity,0.8,0.7,0.7,0.6,numeric,YES
drawing_5,personalityTraits.openness,0.7,0.7,0.75,0.7,numeric,YES
drawing_5,personalityTraits.extroversion,0.7,0.7,0.7,0.7,numeric,
drawing_5,colorUsage.emotionalColorChoices,0.9,0.9,0.9,0.9,numeric,
drawing_5,personalityTraits.emotionalStability,0.9,0.8,0.8,0.8,numeric,YES
drawing_5,personalityTraits.conscientiousness,0.8,0.7,0.6,0.6,numeric,YES
drawing_5,personalityTraits.agreeableness,0.8,0.8,0.85,0.7,numeric,YES
drawing_5,colorUsage.colorDiversity,0.9,0.9,0.8,0.9,numeric,YES
drawing_5,emotionalIndicators.socialBonds,0.8,0.7,0.6,0.8,numeric,YES
drawing_5,colorUsage.ageAppropriateColorUse,0.9,0.9,0.95,0.9,numeric,YES
drawing_5,emotionalIndicators.confidence,0.8,0.8,0.8,0.7,numeric,YES
drawing_5,emotionalIndicators.happiness,0.9,0.9,0.9,0.8,numeric,YES
drawing_5,overallMood,positive,positive,positive,positive,semantic,
drawing_5,drawingTitle,A Bright and Harmonious Landscape with a Welcoming Home,A Happy Girl in a Colorful Landscape with a House and Trees,A Smiling Girl in a Vibrant Landscape,A Happy Scene Outdoors,semantic,YES
drawing_5,concerns.count,1,2,2,1,tonal,YES
drawing_5,keyInsights.count,3,4,4,4,tonal,YES
